avg,id,popularity,profit,title
3.55,2,1.3507943774597808,0.0,Ariel
3.55,3,0.8294727907200621,0.0,Shadows in Paradise
3.25,5,2.2001742228515435,0.07232066157962608,Four Rooms
3.2,6,1.7117545802838259,0.0,Judgment Night
4.05,11,3.7412274958099268,4.255481182148851,Star Wars
3.8,12,3.2385919386182698,2.302941982492901,Finding Nemo
4.1,13,3.877580493666835,2.5117335670166354,Forrest Gump
3.95,14,3.031416838050485,3.1677133317503525,American Beauty
4.0,15,2.7607641492165444,3.319592238955604,Citizen Kane
3.85,16,2.3688227323124136,1.1402309407724267,Dancer in the Dark
2.8,17,1.7389752393869957,0.0,The Dark
3.65,18,3.190692787827571,1.0758370386146843,The Fifth Element
4.0,19,2.673311540527932,-4.958638997034953,Metropolis
3.6,20,2.333163569365938,0.0,My Life Without Me
3.9,21,0.3212273356642651,0.0,The Endless Summer
3.75,22,3.857073878726902,1.5430099487569928,Pirates of the Caribbean: The Curse of the Black Pearl
3.85,24,3.229295946342571,1.7970178419438205,Kill Bill: Vol. 1
3.3,25,2.302288248940209,0.29691017473889214,Jarhead
3.25,26,0.536491031330546,0.0,Walk on Water
2.55,27,2.9363912619323855,0.4540158785458384,9 Songs
4.0,28,2.6097976969037617,1.043808311050699,Apocalypse Now
3.95,30,-0.012080678433043385,0.0,Magnetic Rose
3.85,33,2.3926222128035355,2.430836615352392,Unforgiven
3.45,35,2.660463082982593,1.9498430735302916,The Simpsons Movie
3.95,38,2.557717656245204,1.2845125177024435,Eternal Sunshine of the Spotless Mind
3.8,55,1.784758016157797,2.347007015989249,Amores perros
3.5,58,3.3828743352461457,1.6730320615427452,Pirates of the Caribbean: Dead Man's Chest
3.45,59,2.408718939554434,0.6408801721351314,A History of Violence
3.95,62,3.113276258417788,1.878373942064826,2001: A Space Odyssey
3.7,63,2.5093801326801564,1.7445612575685239,Twelve Monkeys
3.75,64,1.8943578737666829,1.7034053193125402,Talk to Her
3.4,65,2.125174059819955,1.657065961423355,8 Mile
3.2,66,2.0361738505469247,0.0013652675979152992,Absolute Power
3.45,67,1.3121595424519583,0.0,Paradise Now
3.8,68,2.2861799616666776,0.0,Brazil
3.65,69,2.440296499674522,1.8958989701077844,Walk the Line
3.85,70,2.672172422112978,1.9776101893408728,Million Dollar Baby
3.7,71,2.498022262875375,3.091042453358316,Billy Elliot
