id,count,avg,popularity,profit,ratio,title
60555,1,3.0,0.8556456348481045,0.0,0.0,Ride in the Whirlwind
30793,1,2.9,2.20550475738798,0.0,0.0,House of Dracula
82825,1,3.65,1.1552874746611754,2.5902671654458267,0.0,Kahaani
30588,1,3.95,1.8666376328034413,0.0,0.0,Monsieur Verdoux
61667,1,3.35,1.9790210263255923,0.0,0.0,We Have a Pope
28520,1,2.85,1.1280820901854531,0.0,0.0,Uncertainty
64328,1,3.25,2.32379545445756,1.300398949088457,0.0,The Muppets
59722,1,1.9,2.01547072603367,0.0,0.0,2012: Ice Age
65215,1,3.5,1.850900952522408,0.0,0.0,Family Guy Presents Stewie Griffin: The Untold Story
65218,1,3.55,1.6479845522971737,0.0,0.0,Lemonade Mouth
30547,1,3.35,1.866110935544191,0.0,0.0,The Champ
82529,1,3.5,1.6600563091294294,0.0,0.0,Combat Girls
66599,1,2.7,2.09278992922702,0.0,0.199951171875,Love Field
30346,1,3.4,0.8142061777234008,0.0,0.0,The Body Snatcher
60170,1,3.35,2.2959176146790248,0.0,0.0,Christopher and His Kind
58235,1,3.05,1.294252534425951,0.0,0.0,Confessions of a Brazilian Call Girl
78478,1,2.9,1.0078743402649208,0.0,0.0,You Don't Choose Your Family
53182,1,3.05,2.557589803798841,1.1213223045436551,0.0,300: Rise of an Empire
50674,1,2.3,1.131280168572494,0.0,0.0,The Lost Future
50837,1,3.35,2.0366659474173336,0.0,0.0,Martha Marcy May Marlene
82881,1,3.55,2.297971165180716,0.0,0.0,Tangled Ever After
51985,1,2.6,1.5265674771713469,0.0,0.0,An All Dogs Christmas Carol
52077,1,2.85,2.12487393197375,0.0,0.0,Nothing to Declare
53010,1,2.8,1.4122210899242624,0.0,0.0,La Chance de ma vie
31056,1,3.95,1.2529235270337276,0.0,0.0,A Short Film About Love
53217,1,3.8,0.7558054977213057,0.0,0.0,"What's Opera, Doc?"
58043,1,2.85,1.008308953671101,0.0,0.0,My Piece of the Pie
53487,1,3.35,2.371255472486044,-0.7515410772946721,0.0,This Must Be the Place
54164,1,3.35,0.7536837985041529,0.0,0.0,Man of the East
56589,1,3.25,1.0716798445268163,0.0,0.0,The Seventh Company Outdoors
56909,1,3.0,1.3882399672003058,0.0,0.0,The Immature
31032,1,3.4,1.2121445246858331,0.0,0.0,The Death of Mr. Lazarescu
30874,1,2.85,1.452519272002615,0.0,1.5498046875,The New York Ripper
57361,1,3.65,1.5202223625847284,0.0,0.0,The Yellow Sea
67342,1,2.9,1.4331600556373172,0.0,0.0,Mr. Vampire
28635,1,1.9,2.1852690607745804,0.0,0.0,Wishmaster 3: Beyond the Gates of Hell
67911,1,2.2,1.2921968457407569,0.0,0.0,Bucky Larson: Born to Be a Star
76543,1,3.65,1.5148577461050867,0.0,0.0,Tyrannosaur
29291,1,2.75,1.0942759001109637,0.0,0.0,Klimt
75629,1,3.7,2.0496113888760576,0.0,0.0,Evangelion: 3.0 You Can (Not) Redo
29270,1,3.3,0.8720445481705377,0.0,0.0,A Time for Drunken Horses
75720,1,3.6,1.6843724571682797,0.0,0.0,One Life
76122,1,3.3,1.6023097674653781,0.0,0.0,Marvel One-Shot: The Consultant
80384,1,1.85,1.2496125826656266,0.0,0.0,Breaking Wind
79699,1,2.7,2.0444346379482856,0.0,0.0,A Warrior's Heart
76696,1,3.65,1.294590445919651,0.0,1.5498046875,Sidewalls
82474,1,3.45,1.2502629890062638,0.0,0.0,7th Heaven
77016,1,3.6,2.0085884589293976,1.9279204015806768,0.0,End of Watch
77197,1,2.6,1.7364250379788513,0.0,0.0,True Women
29259,1,4.1,1.7627710009818198,0.0,0.0,Le Trou
77950,1,3.05,2.1949723763678946,0.7386539426227348,0.0,Turbo
29143,1,2.85,1.3098759527319792,1.0498221244986776,0.0,Eyes of Laura Mars
78133,1,3.5,1.5036148453714209,-1.9523496716809263,0.0,A Home of Our Own
28978,1,4.0,1.9043159814861697,0.0,0.0,The Circus
75258,1,3.25,2.2322248585208406,0.0,0.0,Secret of the Wings
74998,1,2.9,2.3273749691468466,-0.31908791746631004,0.0,Seeking Justice
29427,1,3.1,2.3900973112084345,1.0108031389970054,0.0,The Crazies
74406,1,3.35,0.7559712641389588,0.0,0.0,Queen: Days of Our Lives
82424,1,3.4,2.2883014659596816,0.0,0.0,Small Fry
68730,1,3.5,2.6510832983346098,-0.6615843514201437,0.0,Silence
68924,1,3.45,1.966602016714403,-0.8061838729454756,0.0,The Ice Storm
28696,1,3.45,2.489453878786988,0.0,0.0,The Wild One
