id,count,avg,popularity,profit,ratio,title,is_duplicated
432789,4,3.1,1.734671699951544,0.0,,The Incredible Jessica James,False
100529,3,2.4,1.4577870055693252,0.0,0.0,Lola Versus,False
5765,3,2.85,2.0057286645427213,0.0,-0.39990234375,Knight Moves,False
256476,2,3.5,0.8388691527066654,0.0,0.0,Walking with the Enemy,False
10192,2,3.0,2.468422191275752,1.5175895562644706,1.2001953125,Shrek Forever After,False
9993,2,2.95,1.402779481767253,0.0,1.2998046875,Little Fish,False
9993,2,2.95,1.402779481767253,0.0,0.7998046875,Little Fish,True
9993,2,2.95,1.402779481767253,0.0,0.35009765625,Little Fish,True
49706,2,3.25,1.1833547046224953,0.0,0.0,Dream Home,False
18203,2,3.4,0.9943522783432004,0.0,0.0,Big Night,False
18722,2,2.9,2.4807711938988763,0.0,0.0,Mr. Baseball,False
44297,2,3.6,1.6929912506268392,0.0,0.0,Besieged,False
18887,2,3.35,1.186807825374906,0.0,0.0,Darby O'Gill and the Little People,False
43938,2,2.8,0.772919544001465,0.0,0.0,Nice Guy Johnny,False
18983,2,3.4,2.0888124968065047,0.0,0.0,"Godzilla, King of the Monsters!",False
9273,2,3.05,2.10479832390462,1.9572057933331664,0.0,Ace Ventura: When Nature Calls,False
19053,2,3.1,2.1328410664061668,3.903045456126685,0.0,Valley Girl,False
10247,2,3.25,1.4293643869232977,0.0,0.0,He Was a Quiet Man,False
265189,2,3.4,2.498619283733625,0.0,0.0,Force Majeure,False
265189,2,3.4,2.498619283733625,0.0,0.0,Force Majeure,True
9040,2,3.75,2.552733897755287,2.295896104843249,0.0,Serpico,False
268321,2,3.45,2.0299097213014172,0.0,0.0,Squatters,False
20391,2,3.15,2.3654539710530345,0.4599147194159446,0.0,Paint Your Wagon,False
7972,2,3.45,2.231085546706969,0.32871432486629576,0.0,Before the Devil Knows You're Dead,False
298032,2,2.25,2.06208694301496,0.0,0.0,VANish,False
7211,2,3.25,2.1901492729641814,1.0061732485281196,0.0,Dan in Real Life,False
300601,2,2.75,1.6300253297412413,0.0,0.0,It's Now or Never,False
39285,2,2.6,1.7568727772885977,0.0,0.0,Beauty & the Briefcase,False
204765,2,2.7,1.036582617732298,0.0,0.0,Prêt à tout,False
16378,2,3.25,0.9946792721668926,0.0,0.0,The Rutles: All You Need Is Cash,False
22627,2,3.4,1.0309920461234443,0.0,0.0,Pure Country,False
10596,2,2.5,2.260250809708022,0.0,0.0,Replicant,False
12568,2,3.1,2.404209749010143,-0.4151904210297663,-2.650390625,Brideshead Revisited,False
12568,2,3.1,2.404209749010143,-0.4151904210297663,-0.0999755859375,Brideshead Revisited,True
86240,2,2.9,1.6649903039770335,0.0,0.0,All Fall Down,False
87440,2,3.1,2.1454863886762494,0.0,0.0,Struck by Lightning,False
80919,2,2.3,1.4807985343700034,0.0,0.0,Game 6,False
78215,2,3.45,2.2588490651330955,0.0,0.0,Into the White,False
13515,2,3.0,2.153228337261884,0.7273614123937097,0.0,Mirrors,False
77883,2,2.9,1.9860201644642967,1.8088281455970512,0.0,The Possession,False
11694,2,3.25,1.697104408119942,0.0,0.0,Cat Ballou,False
13958,2,4.05,1.6820973073347911,0.0,0.0,The King of Kong,False
105875,2,3.0,0.7677317891044932,0.0,0.0,Cinderella,False
112090,2,2.3,2.424569335653094,0.0,0.0,Branded,False
11329,2,3.45,2.1759965145894715,0.2896069686498263,0.0,Runaway Jury,False
11291,2,3.45,1.0368021310483997,0.0,0.0,The Brothers Lionheart,False
11229,2,3.25,1.9584784079925184,0.0,0.0,Freeway,False
69225,2,3.05,2.2523191654212766,0.0,0.0,Switch,False
68430,2,2.8,1.97084329020766,-0.6013381493677762,0.0,Paradise,False
135718,2,3.55,1.085389586108862,0.0,0.0,OMG: Oh My God!,False
14726,2,2.95,0.7796243732318675,0.0,0.0,Espion(s),False
156711,2,3.3,2.088934465958366,-0.8195710634909489,0.0,Austenland,False
159824,2,3.35,2.464722479713631,1.7775484653765383,0.0,Hotel Transylvania 2,False
15531,2,2.65,1.3077780712111184,0.0,0.0,Get Smart's Bruce and Lloyd Out of Control,False
60895,2,3.55,1.0933226565322922,0.0,0.0,Beyond the Blackboard,False
60695,2,2.75,1.037934040413803,0.0,0.0,Sundays at Tiffany's,False
10612,2,3.05,1.6736800771624485,0.0,0.0,The Englishman Who Went Up a Hill But Came Down a Mountain,False
22059,2,2.6,1.810701922759264,0.0,0.0,The Fantastic Four,False
251519,2,3.4,2.5110403373520107,0.0,0.0,Son of Batman,False
84577,2,1.85,0.8130847823597144,0.0,0.0,7 Below,False
433,2,3.7,2.715720045833653,2.835883569945429,0.0,Mary Poppins,False
25624,2,3.35,1.0646448727544615,-0.8262711133503591,0.0,Rosewood,False
26271,2,2.35,0.7603192620811261,0.0,0.0,Live Nude Girls,False
359746,2,3.55,0.7678593986917195,0.0,0.0,The Propaganda Game,False
912,2,3.45,2.2454662313130767,0.0,1.5498046875,The Thomas Crown Affair,False
1931,2,3.05,1.7241064140719309,1.7593306124455648,0.0,Stomp the Yard,False
2022,2,2.8,1.898272720231128,1.2312155382010603,0.0,Mr. Deeds,False
32195,2,3.05,1.6132364886995387,0.0,0.0,My Date with the President's Daughter,False
30250,2,3.05,2.530790610910376,0.0,0.0,Cold Souls,False
393764,2,3.3,1.708120037200415,0.0,0.0,The African Doctor,False
32872,2,1.95,0.9932743653476672,0.0,0.0,Til There Was You,False
34813,2,3.1,2.5493175846617904,-0.05847692975897584,0.0,The Losers,False
30163,2,3.35,1.1124195285118128,0.0,0.0,Fugitives,False
27813,2,3.1,1.8918648005616998,0.0,0.0,Basket Case,False
27814,2,3.4,1.5891711214306123,0.0,0.0,Brain Damage,False
79120,1,3.75,1.5533269263207456,4.103865758105737,0.0,Weekend,False
64158,1,3.6,2.071783292000504,0.0,0.0,Guns at Batasi,False
60555,1,3.0,0.8556456348481045,0.0,0.0,Ride in the Whirlwind,False
30793,1,2.9,2.20550475738798,0.0,0.0,House of Dracula,False
82825,1,3.65,1.1552874746611754,2.5902671654458267,0.0,Kahaani,False
30588,1,3.95,1.8666376328034413,0.0,0.0,Monsieur Verdoux,False
61667,1,3.35,1.9790210263255923,0.0,0.0,We Have a Pope,False
28520,1,2.85,1.1280820901854531,0.0,0.0,Uncertainty,False
64328,1,3.25,2.32379545445756,1.300398949088457,0.0,The Muppets,False
59722,1,1.9,2.01547072603367,0.0,0.0,2012: Ice Age,False
65215,1,3.5,1.850900952522408,0.0,0.0,Family Guy Presents Stewie Griffin: The Untold Story,False
65218,1,3.55,1.6479845522971737,0.0,0.0,Lemonade Mouth,False
30547,1,3.35,1.866110935544191,0.0,0.0,The Champ,False
82529,1,3.5,1.6600563091294294,0.0,0.0,Combat Girls,False
66599,1,2.7,2.09278992922702,0.0,0.199951171875,Love Field,False
30346,1,3.4,0.8142061777234008,0.0,0.0,The Body Snatcher,False
60170,1,3.35,2.2959176146790248,0.0,0.0,Christopher and His Kind,False
58235,1,3.05,1.294252534425951,0.0,0.0,Confessions of a Brazilian Call Girl,False
78478,1,2.9,1.0078743402649208,0.0,0.0,You Don't Choose Your Family,False
53182,1,3.05,2.557589803798841,1.1213223045436551,0.0,300: Rise of an Empire,False
50674,1,2.3,1.131280168572494,0.0,0.0,The Lost Future,False
50837,1,3.35,2.0366659474173336,0.0,0.0,Martha Marcy May Marlene,False
82881,1,3.55,2.297971165180716,0.0,0.0,Tangled Ever After,False
51985,1,2.6,1.5265674771713469,0.0,0.0,An All Dogs Christmas Carol,False
52077,1,2.85,2.12487393197375,0.0,0.0,Nothing to Declare,False
53010,1,2.8,1.4122210899242624,0.0,0.0,La Chance de ma vie,False
31056,1,3.95,1.2529235270337276,0.0,0.0,A Short Film About Love,False
53217,1,3.8,0.7558054977213057,0.0,0.0,"What's Opera, Doc?",False
58043,1,2.85,1.008308953671101,0.0,0.0,My Piece of the Pie,False
53487,1,3.35,2.371255472486044,-0.7515410772946721,0.0,This Must Be the Place,False
54164,1,3.35,0.7536837985041529,0.0,0.0,Man of the East,False
56589,1,3.25,1.0716798445268163,0.0,0.0,The Seventh Company Outdoors,False
56909,1,3.0,1.3882399672003058,0.0,0.0,The Immature,False
31032,1,3.4,1.2121445246858331,0.0,0.0,The Death of Mr. Lazarescu,False
30874,1,2.85,1.452519272002615,0.0,1.5498046875,The New York Ripper,False
57361,1,3.65,1.5202223625847284,0.0,0.0,The Yellow Sea,False
67342,1,2.9,1.4331600556373172,0.0,0.0,Mr. Vampire,False
28635,1,1.9,2.1852690607745804,0.0,0.0,Wishmaster 3: Beyond the Gates of Hell,False
67911,1,2.2,1.2921968457407569,0.0,0.0,Bucky Larson: Born to Be a Star,False
76543,1,3.65,1.5148577461050867,0.0,0.0,Tyrannosaur,False
29291,1,2.75,1.0942759001109637,0.0,0.0,Klimt,False
75629,1,3.7,2.0496113888760576,0.0,0.0,Evangelion: 3.0 You Can (Not) Redo,False
29270,1,3.3,0.8720445481705377,0.0,0.0,A Time for Drunken Horses,False
75720,1,3.6,1.6843724571682797,0.0,0.0,One Life,False
76122,1,3.3,1.6023097674653781,0.0,0.0,Marvel One-Shot: The Consultant,False
80384,1,1.85,1.2496125826656266,0.0,0.0,Breaking Wind,False
79699,1,2.7,2.0444346379482856,0.0,0.0,A Warrior's Heart,False
76696,1,3.65,1.294590445919651,0.0,1.5498046875,Sidewalls,False
82474,1,3.45,1.2502629890062638,0.0,0.0,7th Heaven,False
77016,1,3.6,2.0085884589293976,1.9279204015806768,0.0,End of Watch,False
77197,1,2.6,1.7364250379788513,0.0,0.0,True Women,False
29259,1,4.1,1.7627710009818198,0.0,0.0,Le Trou,False
77950,1,3.05,2.1949723763678946,0.7386539426227348,0.0,Turbo,False
29143,1,2.85,1.3098759527319792,1.0498221244986776,0.0,Eyes of Laura Mars,False
78133,1,3.5,1.5036148453714209,-1.9523496716809263,0.0,A Home of Our Own,False
28978,1,4.0,1.9043159814861697,0.0,0.0,The Circus,False
75258,1,3.25,2.2322248585208406,0.0,0.0,Secret of the Wings,False
74998,1,2.9,2.3273749691468466,-0.31908791746631004,0.0,Seeking Justice,False
29427,1,3.1,2.3900973112084345,1.0108031389970054,0.0,The Crazies,False
74406,1,3.35,0.7559712641389588,0.0,0.0,Queen: Days of Our Lives,False
82424,1,3.4,2.2883014659596816,0.0,0.0,Small Fry,False
68730,1,3.5,2.6510832983346098,-0.6615843514201437,0.0,Silence,False
68924,1,3.45,1.966602016714403,-0.8061838729454756,0.0,The Ice Storm,False
28696,1,3.45,2.489453878786988,0.0,0.0,The Wild One,False
31329,1,2.8,0.846635355264855,0.0,0.0,By the Pricking of My Thumbs,False
70667,1,3.5,2.0580544597981882,0.0,0.0,Kon-Tiki,False
29973,1,3.05,0.9490920385021746,0.0,0.0,Cobb,False
70954,1,3.35,2.3287776532709654,0.0,0.0,The Hunter,False
71282,1,2.95,1.6624359728818991,0.0,0.0,China Seas,False
72477,1,2.85,1.8072945065701804,0.0,0.0,Texas Killing Fields,False
29918,1,3.05,1.2934501882196223,0.0,0.0,Lassie,False
29483,1,3.0,1.139162566276668,0.0,0.0,Beautiful Kate,False
73211,1,3.6,1.4274120719117789,0.0,0.0,King of Devil's Island,False
73262,1,2.85,1.5642175090800663,0.0,0.0,Hell,False
73562,1,3.5,1.5617043798328647,0.0,0.0,Declaration of War,False
31325,1,2.85,1.0026724439997992,0.0,0.0,The Singer,False
36691,1,2.9,1.7629559350331148,-1.093668131182721,0.0,Solitary Man,False
50619,1,2.9,3.2570382859625497,1.8678388872808347,0.0,The Twilight Saga: Breaking Dawn - Part 1,False
